application_id,application_name,business_owner,technology_owner,criticality,data_classification,regulatory_scope,audit_year,last_control_test_date,evidence_submitted,evidence_submission_date,access_review_completed,access_review_date,privileged_access_count,privileged_access_approved,mfa_enabled,encryption_at_rest,backup_enabled,dr_test_completed,dr_test_date,vulnerability_status,open_high_vulnerabilities,policy_exception,exception_expiry_date,app_status,source_system
APP-524,ATM Switch,Deepa Iyer,,Medium,Restricted,RBI,2026,06-17-2026,No,,Yes,03-20-2026,2,No,No,Yes,No,Yes,04-04-2026,Critical Open,4,No,,Active,ACCESS_REVIEW
APP-525,SWIFT Gateway,,,Critical,Confidential,RBI,2026,06-04-2026,No,,No,,3,No,No,No,No,No,,Critical Open,5,No,,Active,CMDB
APP-526,Document Management,,,Critical,Restricted,RBI,2026,06-26-2026,No,,No,,1,No,No,No,No,No,,No Critical Open,0,No,,Active,GRC_PORTAL
APP-527,HR Payroll,Rajesh Kumar,,Critical,Public,SEBI,2026,06-09-2026,Yes,03-24-2026,No,,1,No,No,No,No,No,,No Critical Open,0,No,,Active,GRC_PORTAL
APP-528,Vendor Management,,Rohit Bansal,High,Confidential,SEBI,2026,01-22-2026,No,,No,,0,No,No,No,Yes,No,,Critical Open,2,No,,Active,CMDB
APP-529,Procurement Portal,,,High,Internal,SEBI,2026,05-15-2026,Yes,06-04-2026,No,,3,No,No,Yes,Yes,No,,Critical Open,5,No,,Active,GRC_PORTAL
APP-530,Audit Trail Service,,,Low,Restricted,SEBI,2026,03-14-2026,Yes,06-10-2026,Yes,04-02-2026,1,Yes,No,No,No,No,,No Critical Open,0,Yes,03-28-2026,Active,ACCESS_REVIEW
APP-531,Data Warehouse,Sunil Verma,,High,Restricted,None,2026,05-23-2026,Yes,02-23-2026,Yes,01-20-2026,2,Yes,No,No,No,Yes,04-06-2026,Critical Open,2,Yes,12-02-2026,Active,GRC_PORTAL
APP-532,ETL Orchestrator,,,Critical,Restricted,Internal Audit,2026,03-09-2026,No,,No,,1,No,No,No,No,Yes,01-24-2026,No Critical Open,0,No,,Active,ACCESS_REVIEW
APP-533,API Gateway,Vikram Rao,,Low,Confidential,SOX,2026,04-19-2026,No,,No,,0,No,Yes,No,Yes,No,,Critical Open,4,Yes,01-21-2026,Active,GRC_PORTAL
APP-534,Config Management,,,Medium,Restricted,SOX,2026,06-04-2026,No,,Yes,02-08-2026,0,No,No,No,No,No,,Critical Open,4,No,,Active,ACCESS_REVIEW
APP-535,Secrets Vault,,,Medium,Internal,RBI,2026,04-16-2026,No,,No,,0,No,No,No,No,No,,Critical Open,2,No,,Active,CMDB
APP-536,Log Aggregator,,,Critical,Internal,None,2026,06-19-2026,No,,No,,1,No,No,No,Yes,No,,No Critical Open,0,No,,Active,CMDB
APP-537,Monitoring Dashboard,,,Critical,Restricted,Internal Audit,2026,04-24-2026,No,,No,,0,No,No,No,No,No,,Critical Open,3,No,,Active,CMDB
APP-538,Ticketing System,,,Critical,Confidential,SOX,2026,04-12-2026,No,,No,,0,No,Yes,No,No,Yes,01-14-2026,Critical Open,5,No,,Active,GRC_PORTAL
APP-539,Chatbot Assistant,,Kavita Rao,High,Confidential,Internal Audit,2026,04-26-2026,Yes,01-11-2026,No,,0,No,No,No,No,No,,Critical Open,5,Yes,01-24-2026,Active,GRC_PORTAL
APP-540,Credit Bureau Feed,,Meera Joshi,Critical,Restricted,SOX,2026,03-11-2026,No,,No,,1,No,No,No,Yes,Yes,06-07-2026,Critical Open,1,No,,Active,ACCESS_REVIEW
APP-541,Settlement Engine,,,Critical,Restricted,SOX,2026,05-04-2026,No,,No,,3,Yes,No,Yes,Yes,No,,Critical Open,4,No,,Active,GRC_PORTAL
APP-542,Clearing House Link,Rajesh Kumar,,Critical,Confidential,None,2026,06-19-2026,No,,No,,1,No,No,No,No,No,,Critical Open,3,No,,Active,GRC_PORTAL
APP-543,Escrow Manager,,Anita Bose,Low,Confidential,RBI,2026,06-20-2026,No,,No,,0,No,No,No,No,No,,Critical Open,3,No,,Active,GRC_PORTAL
APP-544,Tax Reporting,,,Medium,Confidential,Internal Audit,2026,05-10-2026,No,,Yes,06-15-2026,2,Yes,No,No,No,Yes,03-26-2026,Critical Open,2,Yes,02-23-2026,Active,CMDB
APP-545,Compliance Tracker,Praveen Shah,,Low,Restricted,None,2026,02-01-2026,Yes,05-20-2026,No,,0,No,Yes,No,No,No,,Critical Open,2,No,,Active,GRC_PORTAL
APP-546,Legal Hold System,,,High,Internal,SOX,2026,02-24-2026,Yes,05-18-2026,Yes,01-14-2026,3,No,No,No,No,No,,Critical Open,5,Yes,09-08-2026,Active,CMDB
APP-547,Vendor Risk Portal,,,Critical,Confidential,RBI,2026,01-06-2026,No,,Yes,04-18-2026,0,No,No,No,No,No,,Critical Open,1,No,,Active,ACCESS_REVIEW
APP-548,Third Party Integration,,,Critical,Confidential,None,2026,06-15-2026,No,,No,,1,No,No,No,No,Yes,02-10-2026,Critical Open,1,No,,Active,CMDB
APP-549,Batch Scheduler,,,Low,Restricted,None,2026,05-20-2026,No,,Yes,05-22-2026,0,No,No,No,No,No,,Critical Open,2,Yes,04-21-2026,Active,CMDB
